sensor_index,monitor,network,lat,lng,date,prov_terr,pm25_recent_r,pm25_recent,pm25_1hr_r,pm25_1hr,pm25_3hr_r,pm25_3hr,pm25_24hr_r,pm25_24hr,temperature,rh,pressure,val_24hr_r,val_1hr_r,val_r,val_24hr,val_1hr,val,icon_url_24hr_r,icon_url_1hr_r,icon_url_r,icon_url_24hr,icon_url_1hr,icon_url
224745,CACWNY24,PA,42.91204,-78.84392,2025-10-17 21:00:00,Canada_Buffer,2.2,1.9,3,2.5,3.2,2.7,8.8,7.2,19.2,42,992.7,9,3,2,7,2,2,icons/icon_21_9.png,icons/icon_21_3.png,icons/icon_21_2.png,icons/icon_21_7.png,icons/icon_21_2.png,icons/icon_21_2.png
224747,CACWNY20,PA,42.919712,-78.8345,2025-10-17 21:00:00,Canada_Buffer,2.4,2,3,2.4,2.8,2.3,7.4,5.8,16.9,48,992.8,7,3,2,6,2,2,icons/icon_21_7.png,icons/icon_21_3.png,icons/icon_21_2.png,icons/icon_21_6.png,icons/icon_21_2.png,icons/icon_21_2.png
224767,CACWNY-28 Niagara Falls Mid Town,PA,43.102524,-79.033394,2025-10-17 21:00:00,Canada_Buffer,2.5,2.2,2.3,2,2.6,2.2,7.1,5.7,19,39.8,995.5,7,2,2,6,2,2,icons/icon_21_7.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_6.png,icons/icon_21_2.png,icons/icon_21_2.png
224771,CACWNY #23,PA,43.112823,-79.038376,2025-10-17 21:00:00,Canada_Buffer,2.2,1.9,2.5,2.1,2.5,2.1,5.7,4.5,19.6,42.3,995.4,6,2,2,4,2,2,icons/icon_21_6.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_4.png,icons/icon_21_2.png,icons/icon_21_2.png
224807,CACWNYPC04,PA,43.096474,-79.000374,2025-10-17 21:00:00,Canada_Buffer,0.1,0.1,0,0,0,0,0.1,0.1,20,38.8,995.9,0,0,0,0,0,0,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png
224819,CACWNY07,PA,42.9132,-78.83629,2025-10-17 21:00:00,Canada_Buffer,2.2,1.9,2.7,2.3,2.7,2.2,9.1,7.1,18.5,43.7,993,9,3,2,7,2,2,icons/icon_21_9.png,icons/icon_21_3.png,icons/icon_21_2.png,icons/icon_21_7.png,icons/icon_21_2.png,icons/icon_21_2.png
224821,CACWNY NT 1,PA,43.045612,-78.854576,2025-10-17 21:00:00,Canada_Buffer,1.3,1.1,1,0.8,1,0.9,2.4,1.8,19.7,46.5,995.8,2,1,1,2,1,1,icons/icon_21_2.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_2.png,icons/icon_21_1.png,icons/icon_21_1.png
224823,CACWNY29,PA,42.939083,-78.90269,2025-10-17 21:00:00,Canada_Buffer,1.9,1.6,3,2.5,3.1,2.5,5.7,4.3,19,44,994.7,6,3,2,4,2,2,icons/icon_21_6.png,icons/icon_21_3.png,icons/icon_21_2.png,icons/icon_21_4.png,icons/icon_21_2.png,icons/icon_21_2.png
224831,CACWNYDG,PA,42.922516,-78.824425,2025-10-17 21:00:00,Canada_Buffer,2.2,1.9,3.6,3.1,3.1,2.6,7.2,5.6,19.4,42.5,992.4,7,4,2,6,3,2,icons/icon_21_7.png,icons/icon_21_4.png,icons/icon_21_2.png,icons/icon_21_6.png,icons/icon_21_3.png,icons/icon_21_2.png
224843,CACWNY09,PA,42.929726,-78.8344,2025-10-17 21:00:00,Canada_Buffer,2.6,2.2,3.4,3,3.3,2.8,7.8,6.5,19.7,40.5,991.7,8,3,3,6,3,2,icons/icon_21_8.png,icons/icon_21_3.png,icons/icon_21_3.png,icons/icon_21_6.png,icons/icon_21_3.png,icons/icon_21_2.png
224885,CACWNY-6,PA,42.917267,-78.892975,2025-10-17 21:00:00,Canada_Buffer,1.5,1.3,2,1.7,3.1,2.5,4.9,3.9,19.4,41.7,993.2,5,2,2,4,2,1,icons/icon_21_5.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_4.png,icons/icon_21_2.png,icons/icon_21_1.png
224909,Nolan Hill,PA,51.174534,-114.16559,2025-10-17 21:00:00,Alberta,0.1,0.1,0.3,0.3,1.3,1.1,2.2,1.9,11,31,872.1,2,0,0,2,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png
224917,Commonwealth Upper,PA,53.559692,-113.4749,2025-10-17 21:00:00,Alberta,0.1,0.1,0.2,0.2,0.2,0.2,1.9,1.7,15.4,27.3,927.9,2,0,0,2,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png
224925,NSECC-B682,PA,45.15951,-61.970226,2025-10-17 21:00:00,Nova Scotia,0.7,0.5,0.7,0.5,0.5,0.4,1.1,0.8,16,67,996.5,1,1,1,1,0,0,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png
224929,NSECC-B6EE,PA,44.989334,-64.10957,2025-10-17 21:00:00,Nova Scotia,0,0,0,0,0.1,0.1,1.1,0.7,13.9,68.2,1006.4,1,0,0,1,0,0,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png
224935,NSECC-97E0,PA,45.833897,-64.2009,2025-10-17 21:00:00,Nova Scotia,0,0,0,0,0.1,0,2.5,1.6,13.7,70,1008.9,2,0,0,2,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png
224937,NSECC-1860,PA,44.62428,-65.75708,2025-10-17 21:00:00,Nova Scotia,0.2,0.1,0.3,0.2,0.9,0.6,2.9,1.9,13.9,63,1009.9,3,0,0,2,0,0,icons/icon_21_3.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png
